dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time,obj_Carbon_Footprint,obj_Satiety,obj_Diversity
<0.01,,<0.01,<0.35,<0.3,<0.3,<0.25,<0.1,<0.25,,,,>0.65,,,,,
,,,,,,,,,,,,1,-1,-1,-1,1,1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal,gCO2e per 100kcal,"score [0,1]","score [0,1]"
6.000604671112636e-10,4.080009985847346e-08,3.622847233102034e-08,6.774195700672506e-08,3.053969866724939e-08,1.300575509117978e-07,1.5019978974329655e-08,3.20293175690454e-08,8.049193449911864e-08,0.9999910766717942,8.373063608939506e-06,1.1675552663115718e-07,0.8999994816891205,0.500000677727154,11.999915340025652,20.000364768039923,0.5000004930711747,1.946891632466994e-05
7.86678432701004e-08,4.492301495180984e-08,0.003566958471320303,7.458738968860528e-08,3.337560686914021e-08,1.1533442616182631e-07,2.631294545366246e-08,3.2447296371025466e-08,8.947248345630115e-08,0.9964316650356696,7.52818145390751e-07,1.2855385861190755e-07,0.8995718283895086,0.49875148113569123,12.01069254154646,20.642149341444576,0.5007135214848244,0.0077576876955118435
4.752517632151795e-10,3.9026388788443724e-08,4.653235131746868e-09,1.937576637738627e-07,0.0071000606600186275,9.99637602089664e-08,1.4367012362218547e-08,3.063690050794071e-08,7.428464698499495e-08,0.9721263570541107,8.268275528580418e-06,0.02076485684548258,0.8970991875178583,0.4905159133477878,12.187335620816414,20.453828811356324,0.5006837258587588,0.059442278957557354
0.009495032425007174,0.019500055758428364,4.91478429345499e-08,6.570625062431565e-08,2.9621953413925695e-08,1.261492052103974e-07,1.4568615175396852e-08,3.017681135250194e-08,0.0010564168901151549,0.9699404506331764,7.615675675741327e-06,1.1324691865396186e-07,0.8958880060649639,0.4911982754601209,11.823900878868132,26.624514545937338,0.5049574179389537,0.0640843618205403
2.340797522102976e-10,0.0002142747244897727,3.9229833406413394e-08,0.026953222196843298,0.015659146231254965,0.0010679477107859352,0.015706410174933464,9.493528413357848e-05,4.8584512504058816e-08,0.9397153832475215,5.248663970262906e-08,0.0005885398949721688,0.8903302907913264,0.4836126152352441,12.068076164963816,22.74107048265722,0.5075388981135032,0.1262346330567305
1.455161151641687e-05,0.00012695487868525504,5.142792219601686e-07,0.0019144992310327462,0.0055790939827362425,0.018118726207317908,2.0864761866447156e-07,4.4493010607078433e-07,1.097830789917268e-06,0.680311230014644,0.00012007757465544711,0.29381260081167554,0.8856463753512873,0.39663872346874807,14.253280148567654,24.87078941296422,0.5201577636446999,0.49144110036465366
